,timepoint,seedlingID,dead,alive
1,feb,1_left_CEOL_blue,NA,NA
2,feb,1_left_CEOL_green,NA,NA
3,feb,1_right_CEOL_blue,NA,NA
4,feb,1_right_CEOL_green,NA,NA
5,feb,10_left_CEOL_blue,NA,NA
6,feb,10_left_CEOL_green,NA,NA
7,feb,10_right_CEOL_blue,NA,NA
8,feb,10_right_CEOL_green,NA,NA
9,feb,11_left_CEOL_blue,NA,NA
10,feb,11_left_CEOL_green,NA,NA
11,feb,11_right_CEOL_blue,NA,NA
12,feb,11_right_CEOL_green,NA,NA
13,feb,12_left_CEOL_blue,NA,NA
14,feb,12_left_CEOL_green,NA,NA
15,feb,12_right_CEOL_blue,NA,NA
16,feb,12_right_CEOL_green,NA,NA
17,feb,13_left_CEOL_blue,NA,NA
18,feb,13_left_CEOL_green,NA,NA
19,feb,13_right_CEOL_blue,NA,NA
20,feb,13_right_CEOL_green,NA,NA
21,feb,14_left_CEOL_blue,NA,NA
22,feb,14_left_CEOL_green,NA,NA
23,feb,14_right_CEOL_blue,NA,NA
24,feb,14_right_CEOL_green,NA,NA
25,feb,15_left_CEOL_blue,NA,NA
26,feb,15_left_CEOL_green,NA,NA
27,feb,15_right_CEOL_blue,NA,NA
28,feb,15_right_CEOL_green,NA,NA
29,feb,16_left_CEOL_blue,NA,NA
30,feb,16_left_CEOL_green,NA,NA
31,feb,16_right_CEOL_blue,NA,NA
32,feb,16_right_CEOL_green,NA,NA
33,feb,17_left_CEOL_blue,NA,NA
34,feb,17_left_CEOL_green,NA,NA
35,feb,17_right_CEOL_blue,NA,NA
36,feb,17_right_CEOL_green,NA,NA
37,feb,18_left_CEOL_blue,NA,NA
38,feb,18_left_CEOL_green,NA,NA
39,feb,18_right_CEOL_blue,NA,NA
40,feb,18_right_CEOL_green,NA,NA
41,feb,19_left_CEOL_blue,NA,NA
42,feb,19_left_CEOL_green,NA,NA
43,feb,19_right_CEOL_blue,NA,NA
44,feb,19_right_CEOL_green,NA,NA
45,feb,2_left_CEOL_blue,NA,NA
46,feb,2_left_CEOL_green,NA,NA
47,feb,2_right_CEOL_blue,NA,NA
48,feb,2_right_CEOL_green,NA,NA
49,feb,20_left_CEOL_blue,NA,NA
50,feb,20_left_CEOL_green,NA,NA
51,feb,20_right_CEOL_blue,NA,NA
52,feb,20_right_CEOL_green,NA,NA
53,feb,21_left_CEOL_blue,NA,NA
54,feb,21_left_CEOL_green,NA,NA
55,feb,21_right_CEOL_blue,NA,NA
56,feb,21_right_CEOL_green,NA,NA
57,feb,22_left_CEOL_blue,NA,NA
58,feb,22_left_CEOL_green,NA,NA
59,feb,22_right_CEOL_blue,NA,NA
60,feb,22_right_CEOL_green,NA,NA
61,feb,23_left_CEOL_blue,NA,NA
62,feb,23_left_CEOL_green,NA,NA
63,feb,23_right_CEOL_blue,NA,NA
64,feb,23_right_CEOL_green,NA,NA
65,feb,24_left_CEOL_blue,NA,NA
66,feb,24_left_CEOL_green,NA,NA
67,feb,24_right_CEOL_blue,NA,NA
68,feb,24_right_CEOL_green,NA,NA
69,feb,25_left_CEOL_blue,NA,NA
70,feb,25_left_CEOL_green,NA,NA
71,feb,25_right_CEOL_blue,NA,NA
72,feb,25_right_CEOL_green,NA,NA
73,feb,26_left_CEOL_blue,NA,NA
74,feb,26_left_CEOL_green,NA,NA
75,feb,26_right_CEOL_blue,NA,NA
76,feb,26_right_CEOL_green,NA,NA
77,feb,27_left_CEOL_blue,NA,NA
78,feb,27_left_CEOL_green,NA,NA
79,feb,27_right_CEOL_blue,NA,NA
80,feb,27_right_CEOL_green,NA,NA
81,feb,28_left_CEOL_blue,NA,NA
82,feb,28_left_CEOL_green,NA,NA
83,feb,28_right_CEOL_blue,NA,NA
84,feb,28_right_CEOL_green,NA,NA
85,feb,29_left_CEOL_blue,NA,NA
86,feb,29_left_CEOL_green,NA,NA
87,feb,29_right_CEOL_blue,NA,NA
88,feb,29_right_CEOL_green,NA,NA
89,feb,3_left_CEOL_blue,NA,NA
90,feb,3_left_CEOL_green,NA,NA
91,feb,3_right_CEOL_blue,NA,NA
92,feb,3_right_CEOL_green,NA,NA
93,feb,30_left_CEOL_blue,NA,NA
94,feb,30_left_CEOL_green,NA,NA
95,feb,30_right_CEOL_blue,NA,NA
96,feb,30_right_CEOL_green,NA,NA
97,feb,31_left_CEOL_blue,NA,NA
98,feb,31_left_CEOL_green,NA,NA
99,feb,31_right_CEOL_blue,NA,NA
100,feb,31_right_CEOL_green,NA,NA
101,feb,32_left_CEOL_blue,NA,NA
102,feb,32_left_CEOL_green,NA,NA
103,feb,32_right_CEOL_blue,NA,NA
104,feb,32_right_CEOL_green,NA,NA
105,feb,33_left_CEOL_blue,NA,NA
106,feb,33_left_CEOL_green,NA,NA
107,feb,33_right_CEOL_blue,NA,NA
108,feb,33_right_CEOL_green,NA,NA
109,feb,34_left_CEOL_blue,NA,NA
110,feb,34_left_CEOL_green,NA,NA
111,feb,34_right_CEOL_blue,NA,NA
112,feb,34_right_CEOL_green,NA,NA
113,feb,35_left_CEOL_blue,NA,NA
114,feb,35_left_CEOL_green,NA,NA
115,feb,35_right_CEOL_blue,NA,NA
116,feb,35_right_CEOL_green,NA,NA
117,feb,36_left_CEOL_blue,NA,NA
118,feb,36_left_CEOL_green,NA,NA
119,feb,36_right_CEOL_blue,NA,NA
120,feb,36_right_CEOL_green,NA,NA
121,feb,4_left_CEOL_blue,NA,NA
122,feb,4_left_CEOL_green,NA,NA
123,feb,4_right_CEOL_blue,NA,NA
124,feb,4_right_CEOL_green,NA,NA
125,feb,5_left_CEOL_blue,NA,NA
126,feb,5_left_CEOL_green,NA,NA
127,feb,5_right_CEOL_blue,NA,NA
128,feb,5_right_CEOL_green,NA,NA
129,feb,6_left_CEOL_blue,NA,NA
130,feb,6_left_CEOL_green,NA,NA
131,feb,6_right_CEOL_blue,NA,NA
132,feb,6_right_CEOL_green,NA,NA
133,feb,7_left_CEOL_blue,NA,NA
134,feb,7_left_CEOL_green,NA,NA
135,feb,7_right_CEOL_blue,NA,NA
136,feb,7_right_CEOL_green,NA,NA
137,feb,8_left_CEOL_blue,NA,NA
138,feb,8_left_CEOL_green,NA,NA
139,feb,8_right_CEOL_blue,NA,NA
140,feb,8_right_CEOL_green,NA,NA
141,feb,9_left_CEOL_blue,NA,NA
142,feb,9_left_CEOL_green,NA,NA
143,feb,9_right_CEOL_blue,NA,NA
144,feb,9_right_CEOL_green,NA,NA
145,march,1_left_CEOL_blue,NA,2.59
146,march,1_left_CEOL_green,NA,2.97
147,march,1_right_CEOL_blue,NA,1.82
148,march,1_right_CEOL_green,NA,1.65
149,march,10_left_CEOL_blue,NA,2.95
150,march,10_left_CEOL_green,NA,3.53
151,march,10_right_CEOL_blue,NA,0.88
152,march,10_right_CEOL_green,NA,3.89
153,march,11_left_CEOL_blue,NA,1.54
154,march,11_left_CEOL_green,NA,1.29
155,march,11_right_CEOL_blue,NA,1.12
156,march,11_right_CEOL_green,NA,1.98
157,march,12_left_CEOL_blue,NA,2.7
158,march,12_left_CEOL_green,NA,0.78
159,march,12_right_CEOL_blue,NA,1.9
160,march,12_right_CEOL_green,NA,1.3
161,march,13_left_CEOL_blue,NA,2.34
162,march,13_left_CEOL_green,NA,2.28
163,march,13_right_CEOL_blue,NA,2
164,march,13_right_CEOL_green,1.7,NA
165,march,14_left_CEOL_blue,NA,2.5
166,march,14_left_CEOL_green,0.5,NA
167,march,14_right_CEOL_blue,NA,1.728
168,march,14_right_CEOL_green,NA,1.289
169,march,15_left_CEOL_blue,NA,0.987
170,march,15_left_CEOL_green,NA,2.783
171,march,15_right_CEOL_blue,NA,1.65
172,march,15_right_CEOL_green,0.55,NA
173,march,16_left_CEOL_blue,NA,2.69
174,march,16_left_CEOL_green,NA,2.05
175,march,16_right_CEOL_blue,NA,2.15
176,march,16_right_CEOL_green,NA,2.6
177,march,17_left_CEOL_blue,NA,2.72
178,march,17_left_CEOL_green,3.1,NA
179,march,17_right_CEOL_blue,NA,4
180,march,17_right_CEOL_green,NA,2.9
181,march,18_left_CEOL_blue,NA,1
182,march,18_left_CEOL_green,NA,NA
183,march,18_right_CEOL_blue,NA,NA
184,march,18_right_CEOL_green,NA,NA
185,march,19_left_CEOL_blue,NA,3.86
186,march,19_left_CEOL_green,NA,2.32
187,march,19_right_CEOL_blue,NA,3
188,march,19_right_CEOL_green,NA,3.12
189,march,2_left_CEOL_blue,NA,2.74
190,march,2_left_CEOL_green,NA,2
191,march,2_right_CEOL_blue,NA,2
192,march,2_right_CEOL_green,NA,1.3
193,march,20_left_CEOL_blue,2.14,NA
194,march,20_left_CEOL_green,NA,NA
195,march,20_right_CEOL_blue,0.87,NA
196,march,20_right_CEOL_green,NA,1.93
197,march,21_left_CEOL_blue,NA,NA
198,march,21_left_CEOL_green,NA,NA
199,march,21_right_CEOL_blue,NA,2.11
200,march,21_right_CEOL_green,NA,4.11
201,march,22_left_CEOL_blue,NA,2.38
202,march,22_left_CEOL_green,3.04,NA
203,march,22_right_CEOL_blue,1.63,NA
204,march,22_right_CEOL_green,3.36,NA
205,march,23_left_CEOL_blue,NA,1.08
206,march,23_left_CEOL_green,NA,1.04
207,march,23_right_CEOL_blue,NA,NA
208,march,23_right_CEOL_green,NA,3.37
209,march,24_left_CEOL_blue,1.74,NA
210,march,24_left_CEOL_green,NA,NA
211,march,24_right_CEOL_blue,2.6,NA
212,march,24_right_CEOL_green,0.48,NA
213,march,25_left_CEOL_blue,NA,2.87
214,march,25_left_CEOL_green,NA,1.98
215,march,25_right_CEOL_blue,NA,5.11
216,march,25_right_CEOL_green,NA,1.41
217,march,26_left_CEOL_blue,NA,2.84
218,march,26_left_CEOL_green,NA,1.55
219,march,26_right_CEOL_blue,NA,1.77
220,march,26_right_CEOL_green,NA,4.19
221,march,27_left_CEOL_blue,1.49,NA
222,march,27_left_CEOL_green,NA,1.78
223,march,27_right_CEOL_blue,NA,1.47
224,march,27_right_CEOL_green,NA,1.53
225,march,28_left_CEOL_blue,NA,1.59
226,march,28_left_CEOL_green,1.52,NA
227,march,28_right_CEOL_blue,3.34,NA
228,march,28_right_CEOL_green,NA,2.43
229,march,29_left_CEOL_blue,NA,NA
230,march,29_left_CEOL_green,NA,NA
231,march,29_right_CEOL_blue,1.57,NA
232,march,29_right_CEOL_green,1,NA
233,march,3_left_CEOL_blue,NA,2.15
234,march,3_left_CEOL_green,NA,3.66
235,march,3_right_CEOL_blue,NA,1.16
236,march,3_right_CEOL_green,NA,1.28
237,march,30_left_CEOL_blue,NA,2.09
238,march,30_left_CEOL_green,NA,1.97
239,march,30_right_CEOL_blue,2.51,NA
240,march,30_right_CEOL_green,NA,2.51
241,march,31_left_CEOL_blue,NA,2.5
242,march,31_left_CEOL_green,NA,2.22
243,march,31_right_CEOL_blue,NA,2.08
244,march,31_right_CEOL_green,NA,NA
245,march,32_left_CEOL_blue,NA,2.45
246,march,32_left_CEOL_green,NA,NA
247,march,32_right_CEOL_blue,2,NA
248,march,32_right_CEOL_green,NA,NA
249,march,33_left_CEOL_blue,NA,2.67
250,march,33_left_CEOL_green,NA,2.98
251,march,33_right_CEOL_blue,NA,1.67
252,march,33_right_CEOL_green,NA,1.91
253,march,34_left_CEOL_blue,NA,2.08
254,march,34_left_CEOL_green,NA,1.84
255,march,34_right_CEOL_blue,NA,2.32
256,march,34_right_CEOL_green,1.11,NA
257,march,35_left_CEOL_blue,NA,1.45
258,march,35_left_CEOL_green,2.46,NA
259,march,35_right_CEOL_blue,NA,2.12
260,march,35_right_CEOL_green,NA,1.53
261,march,36_left_CEOL_blue,NA,NA
262,march,36_left_CEOL_green,NA,2.4
263,march,36_right_CEOL_blue,NA,0.45
264,march,36_right_CEOL_green,NA,1.41
265,march,4_left_CEOL_blue,NA,2.7
266,march,4_left_CEOL_green,NA,2.65
267,march,4_right_CEOL_blue,NA,3.66
268,march,4_right_CEOL_green,NA,1.9
269,march,5_left_CEOL_blue,NA,1.6
270,march,5_left_CEOL_green,NA,1.13
271,march,5_right_CEOL_blue,NA,1.99
272,march,5_right_CEOL_green,NA,1.7
273,march,6_left_CEOL_blue,NA,2.32
274,march,6_left_CEOL_green,1.12,NA
275,march,6_right_CEOL_blue,NA,1.43
276,march,6_right_CEOL_green,NA,3.56
277,march,7_left_CEOL_blue,NA,3.32
278,march,7_left_CEOL_green,NA,2.3
279,march,7_right_CEOL_blue,NA,2.59
280,march,7_right_CEOL_green,NA,1.79
281,march,8_left_CEOL_blue,NA,1.6
282,march,8_left_CEOL_green,NA,2.25
283,march,8_right_CEOL_blue,NA,0.97
284,march,8_right_CEOL_green,NA,2.15
285,march,9_left_CEOL_blue,NA,3.14
286,march,9_left_CEOL_green,NA,1.92
287,march,9_right_CEOL_blue,NA,0.75
288,march,9_right_CEOL_green,NA,2.12
289,may,1_left_CEOL_blue,NA,NA
290,may,1_left_CEOL_green,NA,NA
291,may,1_right_CEOL_blue,NA,1.64
292,may,1_right_CEOL_green,NA,1.173
293,may,10_left_CEOL_blue,NA,2.73
294,may,10_left_CEOL_green,NA,3.83
295,may,10_right_CEOL_blue,NA,1.16
296,may,10_right_CEOL_green,NA,3.07
297,may,11_left_CEOL_blue,NA,NA
298,may,11_left_CEOL_green,NA,NA
299,may,11_right_CEOL_blue,NA,NA
300,may,11_right_CEOL_green,NA,NA
301,may,12_left_CEOL_blue,NA,NA
302,may,12_left_CEOL_green,NA,1.99
303,may,12_right_CEOL_blue,NA,NA
304,may,12_right_CEOL_green,NA,1.22
305,may,13_left_CEOL_blue,NA,NA
306,may,13_left_CEOL_green,NA,NA
307,may,13_right_CEOL_blue,NA,NA
308,may,13_right_CEOL_green,NA,NA
309,may,14_left_CEOL_blue,NA,3.31
310,may,14_left_CEOL_green,NA,NA
311,may,14_right_CEOL_blue,NA,NA
312,may,14_right_CEOL_green,NA,NA
313,may,15_left_CEOL_blue,NA,1.42
314,may,15_left_CEOL_green,NA,1.84
315,may,15_right_CEOL_blue,NA,0.83
316,may,15_right_CEOL_green,NA,NA
317,may,16_left_CEOL_blue,NA,NA
318,may,16_left_CEOL_green,NA,0.97
319,may,16_right_CEOL_blue,NA,2.36
320,may,16_right_CEOL_green,NA,NA
321,may,17_left_CEOL_blue,NA,2.5
322,may,17_left_CEOL_green,NA,NA
323,may,17_right_CEOL_blue,NA,NA
324,may,17_right_CEOL_green,NA,NA
325,may,18_left_CEOL_blue,NA,0.58
326,may,18_left_CEOL_green,NA,NA
327,may,18_right_CEOL_blue,NA,NA
328,may,18_right_CEOL_green,NA,NA
329,may,19_left_CEOL_blue,NA,NA
330,may,19_left_CEOL_green,NA,NA
331,may,19_right_CEOL_blue,NA,NA
332,may,19_right_CEOL_green,NA,NA
333,may,2_left_CEOL_blue,NA,2.01
334,may,2_left_CEOL_green,NA,NA
335,may,2_right_CEOL_blue,NA,NA
336,may,2_right_CEOL_green,NA,1.01
337,may,20_left_CEOL_blue,NA,NA
338,may,20_left_CEOL_green,NA,NA
339,may,20_right_CEOL_blue,NA,NA
340,may,20_right_CEOL_green,NA,NA
341,may,21_left_CEOL_blue,NA,NA
342,may,21_left_CEOL_green,NA,NA
343,may,21_right_CEOL_blue,NA,NA
344,may,21_right_CEOL_green,NA,NA
345,may,22_left_CEOL_blue,1,NA
346,may,22_left_CEOL_green,1.8,NA
347,may,22_right_CEOL_blue,1.7,NA
348,may,22_right_CEOL_green,2.8,NA
349,may,23_left_CEOL_blue,NA,0.669
350,may,23_left_CEOL_green,NA,NA
351,may,23_right_CEOL_blue,NA,NA
352,may,23_right_CEOL_green,NA,NA
353,may,24_left_CEOL_blue,NA,NA
354,may,24_left_CEOL_green,NA,NA
355,may,24_right_CEOL_blue,NA,NA
356,may,24_right_CEOL_green,NA,NA
357,may,25_left_CEOL_blue,NA,NA
358,may,25_left_CEOL_green,NA,NA
359,may,25_right_CEOL_blue,NA,NA
360,may,25_right_CEOL_green,NA,NA
361,may,26_left_CEOL_blue,1.32,NA
362,may,26_left_CEOL_green,1.39,NA
363,may,26_right_CEOL_blue,1,NA
364,may,26_right_CEOL_green,NA,4.3
365,may,27_left_CEOL_blue,NA,NA
366,may,27_left_CEOL_green,1.82,NA
367,may,27_right_CEOL_blue,NA,NA
368,may,27_right_CEOL_green,NA,NA
369,may,28_left_CEOL_blue,2.14,NA
370,may,28_left_CEOL_green,2.9,NA
371,may,28_right_CEOL_blue,1.53,NA
372,may,28_right_CEOL_green,NA,NA
373,may,29_left_CEOL_blue,NA,NA
374,may,29_left_CEOL_green,NA,NA
375,may,29_right_CEOL_blue,NA,NA
376,may,29_right_CEOL_green,NA,NA
377,may,3_left_CEOL_blue,NA,NA
378,may,3_left_CEOL_green,NA,NA
379,may,3_right_CEOL_blue,NA,3.41
380,may,3_right_CEOL_green,NA,5.63
381,may,30_left_CEOL_blue,NA,3.56
382,may,30_left_CEOL_green,NA,NA
383,may,30_right_CEOL_blue,NA,NA
384,may,30_right_CEOL_green,NA,NA
385,may,31_left_CEOL_blue,NA,NA
386,may,31_left_CEOL_green,NA,NA
387,may,31_right_CEOL_blue,NA,NA
388,may,31_right_CEOL_green,NA,NA
389,may,32_left_CEOL_blue,NA,NA
390,may,32_left_CEOL_green,NA,NA
391,may,32_right_CEOL_blue,NA,NA
392,may,32_right_CEOL_green,NA,NA
393,may,33_left_CEOL_blue,NA,3.26
394,may,33_left_CEOL_green,NA,NA
395,may,33_right_CEOL_blue,NA,4.677
396,may,33_right_CEOL_green,NA,2.625
397,may,34_left_CEOL_blue,NA,NA
398,may,34_left_CEOL_green,NA,NA
399,may,34_right_CEOL_blue,NA,3.65
400,may,34_right_CEOL_green,NA,NA
401,may,35_left_CEOL_blue,1.883,NA
402,may,35_left_CEOL_green,NA,NA
403,may,35_right_CEOL_blue,NA,2.129
404,may,35_right_CEOL_green,2.081,NA
405,may,36_left_CEOL_blue,NA,NA
406,may,36_left_CEOL_green,NA,NA
407,may,36_right_CEOL_blue,NA,NA
408,may,36_right_CEOL_green,NA,NA
409,may,4_left_CEOL_blue,NA,NA
410,may,4_left_CEOL_green,NA,1.36
411,may,4_right_CEOL_blue,NA,NA
412,may,4_right_CEOL_green,NA,1.99
413,may,5_left_CEOL_blue,NA,2.456
414,may,5_left_CEOL_green,NA,1.89
415,may,5_right_CEOL_blue,NA,1.33
416,may,5_right_CEOL_green,NA,NA
417,may,6_left_CEOL_blue,NA,NA
418,may,6_left_CEOL_green,NA,NA
419,may,6_right_CEOL_blue,NA,NA
420,may,6_right_CEOL_green,NA,NA
421,may,7_left_CEOL_blue,NA,NA
422,may,7_left_CEOL_green,NA,0.53
423,may,7_right_CEOL_blue,NA,NA
424,may,7_right_CEOL_green,NA,NA
425,may,8_left_CEOL_blue,NA,NA
426,may,8_left_CEOL_green,NA,NA
427,may,8_right_CEOL_blue,NA,NA
428,may,8_right_CEOL_green,NA,NA
429,may,9_left_CEOL_blue,NA,NA
430,may,9_left_CEOL_green,NA,0.815
431,may,9_right_CEOL_blue,NA,NA
432,may,9_right_CEOL_green,NA,NA
433,dec,1_left_CEOL_blue,NA,NA
434,dec,1_left_CEOL_green,NA,NA
435,dec,1_right_CEOL_blue,NA,NA
436,dec,1_right_CEOL_green,NA,NA
437,dec,10_left_CEOL_blue,NA,NA
438,dec,10_left_CEOL_green,NA,NA
439,dec,10_right_CEOL_blue,NA,NA
440,dec,10_right_CEOL_green,NA,NA
441,dec,11_left_CEOL_blue,NA,NA
442,dec,11_left_CEOL_green,NA,NA
443,dec,11_right_CEOL_blue,NA,NA
444,dec,11_right_CEOL_green,NA,NA
445,dec,12_left_CEOL_blue,NA,NA
446,dec,12_left_CEOL_green,NA,NA
447,dec,12_right_CEOL_blue,NA,NA
448,dec,12_right_CEOL_green,NA,NA
449,dec,13_left_CEOL_blue,NA,NA
450,dec,13_left_CEOL_green,NA,NA
451,dec,13_right_CEOL_blue,NA,NA
452,dec,13_right_CEOL_green,NA,NA
453,dec,14_left_CEOL_blue,NA,NA
454,dec,14_left_CEOL_green,NA,NA
455,dec,14_right_CEOL_blue,NA,NA
456,dec,14_right_CEOL_green,NA,NA
457,dec,15_left_CEOL_blue,NA,NA
458,dec,15_left_CEOL_green,NA,NA
459,dec,15_right_CEOL_blue,NA,NA
460,dec,15_right_CEOL_green,NA,NA
461,dec,16_left_CEOL_blue,NA,NA
462,dec,16_left_CEOL_green,NA,NA
463,dec,16_right_CEOL_blue,NA,NA
464,dec,16_right_CEOL_green,NA,NA
465,dec,17_left_CEOL_blue,NA,NA
466,dec,17_left_CEOL_green,NA,NA
467,dec,17_right_CEOL_blue,NA,NA
468,dec,17_right_CEOL_green,NA,NA
469,dec,18_left_CEOL_blue,NA,NA
470,dec,18_left_CEOL_green,NA,NA
471,dec,18_right_CEOL_blue,NA,NA
472,dec,18_right_CEOL_green,NA,NA
473,dec,19_left_CEOL_blue,NA,NA
474,dec,19_left_CEOL_green,NA,NA
475,dec,19_right_CEOL_blue,NA,NA
476,dec,19_right_CEOL_green,NA,NA
477,dec,2_left_CEOL_blue,NA,NA
478,dec,2_left_CEOL_green,NA,NA
479,dec,2_right_CEOL_blue,NA,NA
480,dec,2_right_CEOL_green,NA,NA
481,dec,20_left_CEOL_blue,NA,NA
482,dec,20_left_CEOL_green,NA,NA
483,dec,20_right_CEOL_blue,NA,NA
484,dec,20_right_CEOL_green,NA,NA
485,dec,21_left_CEOL_blue,NA,NA
486,dec,21_left_CEOL_green,NA,NA
487,dec,21_right_CEOL_blue,NA,NA
488,dec,21_right_CEOL_green,NA,NA
489,dec,22_left_CEOL_blue,NA,NA
490,dec,22_left_CEOL_green,NA,NA
491,dec,22_right_CEOL_blue,NA,NA
492,dec,22_right_CEOL_green,NA,NA
493,dec,23_left_CEOL_blue,NA,NA
494,dec,23_left_CEOL_green,NA,NA
495,dec,23_right_CEOL_blue,NA,NA
496,dec,23_right_CEOL_green,NA,NA
497,dec,24_left_CEOL_blue,NA,NA
498,dec,24_left_CEOL_green,NA,NA
499,dec,24_right_CEOL_blue,NA,NA
500,dec,24_right_CEOL_green,NA,NA
501,dec,25_left_CEOL_blue,NA,NA
502,dec,25_left_CEOL_green,NA,NA
503,dec,25_right_CEOL_blue,NA,NA
504,dec,25_right_CEOL_green,NA,NA
505,dec,26_left_CEOL_blue,NA,NA
506,dec,26_left_CEOL_green,NA,NA
507,dec,26_right_CEOL_blue,NA,NA
508,dec,26_right_CEOL_green,NA,NA
509,dec,27_left_CEOL_blue,NA,NA
510,dec,27_left_CEOL_green,NA,NA
511,dec,27_right_CEOL_blue,NA,NA
512,dec,27_right_CEOL_green,NA,NA
513,dec,28_left_CEOL_blue,NA,NA
514,dec,28_left_CEOL_green,NA,NA
515,dec,28_right_CEOL_blue,NA,NA
516,dec,28_right_CEOL_green,NA,NA
517,dec,29_left_CEOL_blue,NA,NA
518,dec,29_left_CEOL_green,NA,NA
519,dec,29_right_CEOL_blue,NA,NA
520,dec,29_right_CEOL_green,NA,NA
521,dec,3_left_CEOL_blue,NA,NA
522,dec,3_left_CEOL_green,NA,NA
523,dec,3_right_CEOL_blue,NA,NA
524,dec,3_right_CEOL_green,NA,NA
525,dec,30_left_CEOL_blue,NA,NA
526,dec,30_left_CEOL_green,NA,NA
527,dec,30_right_CEOL_blue,NA,NA
528,dec,30_right_CEOL_green,NA,NA
529,dec,31_left_CEOL_blue,NA,NA
530,dec,31_left_CEOL_green,NA,NA
531,dec,31_right_CEOL_blue,NA,NA
532,dec,31_right_CEOL_green,NA,NA
533,dec,32_left_CEOL_blue,NA,NA
534,dec,32_left_CEOL_green,NA,NA
535,dec,32_right_CEOL_blue,NA,NA
536,dec,32_right_CEOL_green,NA,NA
537,dec,33_left_CEOL_blue,NA,NA
538,dec,33_left_CEOL_green,NA,NA
539,dec,33_right_CEOL_blue,NA,NA
540,dec,33_right_CEOL_green,NA,NA
541,dec,34_left_CEOL_blue,NA,NA
542,dec,34_left_CEOL_green,NA,NA
543,dec,34_right_CEOL_blue,NA,NA
544,dec,34_right_CEOL_green,NA,NA
545,dec,35_left_CEOL_blue,NA,NA
546,dec,35_left_CEOL_green,NA,NA
547,dec,35_right_CEOL_blue,NA,NA
548,dec,35_right_CEOL_green,NA,NA
549,dec,36_left_CEOL_blue,NA,NA
550,dec,36_left_CEOL_green,NA,NA
551,dec,36_right_CEOL_blue,NA,NA
552,dec,36_right_CEOL_green,NA,NA
553,dec,4_left_CEOL_blue,NA,NA
554,dec,4_left_CEOL_green,NA,NA
555,dec,4_right_CEOL_blue,NA,NA
556,dec,4_right_CEOL_green,NA,NA
557,dec,5_left_CEOL_blue,NA,NA
558,dec,5_left_CEOL_green,NA,NA
559,dec,5_right_CEOL_blue,NA,NA
560,dec,5_right_CEOL_green,NA,NA
561,dec,6_left_CEOL_blue,NA,NA
562,dec,6_left_CEOL_green,NA,NA
563,dec,6_right_CEOL_blue,NA,NA
564,dec,6_right_CEOL_green,NA,NA
565,dec,7_left_CEOL_blue,NA,NA
566,dec,7_left_CEOL_green,NA,NA
567,dec,7_right_CEOL_blue,NA,NA
568,dec,7_right_CEOL_green,NA,NA
569,dec,8_left_CEOL_blue,NA,NA
570,dec,8_left_CEOL_green,NA,NA
571,dec,8_right_CEOL_blue,NA,NA
572,dec,8_right_CEOL_green,NA,NA
573,dec,9_left_CEOL_blue,NA,NA
574,dec,9_left_CEOL_green,NA,NA
575,dec,9_right_CEOL_blue,NA,NA
576,dec,9_right_CEOL_green,NA,NA