year_1,month_1,monthcount_1,activity_1,activity_2,activity_3,activity_4,activity_5
2017,1,0,,,,,
2017,2,1,,,,,
2017,3,2,,,,,
2017,4,3,,,,,
2017,5,4,,,,,
2017,6,5,,,,,
2017,7,6,,,,,
2017,8,7,,,,,percentcover
2017,9,8,,,,,
2017,10,9,,,,,
2017,11,10,,,,,
2017,12,11,,,,,
2018,1,12,survival,mortality,,,
2018,2,13,survival,mortality,,,
2018,3,14,,,,,
2018,4,15,,,PAR,TDR,
2018,5,16,survival,mortality,,,percentcover
2018,6,17,,,,,
2018,7,18,,,,,
2018,8,19,,,,,
2018,9,20,,,PAR,,
2018,10,21,,,,,
2018,11,22,,,,,
2018,12,23,survival,mortality,,TDR,
2019,1,24,survival,mortality,PAR,,
2019,2,25,,,,,
2019,3,26,survival,mortality,PAR,TDR,
2019,4,27,,,,,
2019,5,28,survival,mortality,PAR,,percentcover
2019,6,29,survival,mortality,,,
2019,7,30,,,PAR,,
2019,8,31,,,,,
2019,9,32,survival,mortality,PAR,,
2019,10,33,,,,,
2019,11,34,survival,mortality,PAR,,
2019,12,35,,,,,
2020,1,36,,,,,
2020,2,37,,,,,
2020,3,38,survival,mortality,TDR,,
2020,4,39,,,TDR,,
2020,5,40,survival,mortality,TDR,,
2020,6,41,,,,,
2020,7,42,,,,,
2020,8,43,,,,,
2020,9,44,,,,,
2020,10,45,survival,mortality,,,
2020,11,46,,,,,
2020,12,47,,,,,
2021,1,48,,,,,
2021,2,49,survival,mortality,,,
2021,3,50,,,,,
2021,4,51,survival,mortality,,,
2021,5,52,,,,,
2021,6,53,,,,,
2021,7,54,,,,,
2021,8,55,,,,,
2021,9,56,,,,,
2021,10,57,,,,,
2021,11,58,,,,,
2021,12,59,,,,,