"","plot_number","location","species","may_stem_height_cm","may_volume_cm3","nov_alive","site","treatment","normalized_par","exotic_percentcover","year","mafacover"
"1","1","top","CEOL",2.93,9.74273750604165,1,"1","none",0.148347425057648,40,2019,70
"2","1","top","HEAR",7.82,231.317079768045,0,"1","none",0.148347425057648,40,2019,70
"3","1","top","RHOV",0.54,0.911847267704437,0,"1","none",0.148347425057648,40,2019,70
"4","1","top","SAAP",3.45,14.7161467592474,0,"1","none",0.148347425057648,40,2019,70
"5","1","middle","HEAR",6.59,87.4788600939721,1,"1","none",0.148347425057648,40,2019,70
"6","1","bottom","CEOL",7.04,36.979310134287,0,"1","none",0.148347425057648,40,2019,70
"7","1","bottom","HEAR",7.28,94.6645055900072,0,"1","none",0.148347425057648,40,2019,70
"8","1","bottom","RHOV",5.43,59.8481254490489,1,"1","none",0.148347425057648,40,2019,70
"9","2","top","CEOL",5.88,64.3103871055401,0,"1","full",0.230496453900709,43,2019,25
"10","2","top","HEAR",10.15,348.432651054895,0,"1","full",0.230496453900709,43,2019,25
"11","2","top","RHOV",2.4,0.0955044166691297,0,"1","full",0.230496453900709,43,2019,25
"12","2","top","SAAP",12.92,775.893679042267,1,"1","full",0.230496453900709,43,2019,25
"13","2","middle","HEAR",6.9,116.802844064142,0,"1","full",0.230496453900709,43,2019,25
"14","2","middle","SAAP",10.07,162.687297026331,1,"1","full",0.230496453900709,43,2019,25
"15","2","bottom","CEOL",3.49,4.5588970465156,0,"1","full",0.230496453900709,43,2019,25
"16","2","bottom","HEAR",5.64,67.0459351918388,0,"1","full",0.230496453900709,43,2019,25
"17","2","bottom","RHOV",3.75,20.2779988312179,0,"1","full",0.230496453900709,43,2019,25
"18","2","bottom","SAAP",7.37,124.43290082775,0,"1","full",0.230496453900709,43,2019,25
"19","3","top","CEOL",3.25,16.3449604483725,0,"1","full",0.149560117302053,27,2019,23
"20","3","top","HEAR",4.59,50.5862469213498,0,"1","full",0.149560117302053,27,2019,23
"21","3","top","RHOV",3.05,18.0825622551036,0,"1","full",0.149560117302053,27,2019,23
"22","3","top","SAAP",12.89,279.354974590151,1,"1","full",0.149560117302053,27,2019,23
"23","3","middle","HEAR",7.05,126.391817364951,1,"1","full",0.149560117302053,27,2019,23
"24","3","middle","RHOV",1.52,2.7350077323622,0,"1","full",0.149560117302053,27,2019,23
"25","3","middle","SAAP",5.06,64.8395360281598,1,"1","full",0.149560117302053,27,2019,23
"26","3","bottom","CEOL",0.71,0.186695426624881,0,"1","full",0.149560117302053,27,2019,23
"27","3","bottom","HEAR",9.3,112.24904268091,0,"1","full",0.149560117302053,27,2019,23
"28","3","bottom","RHOV",1.05,2.61848606084056,0,"1","full",0.149560117302053,27,2019,23
"29","3","bottom","SAAP",6.89,33.3226387043755,0,"1","full",0.149560117302053,27,2019,23
"30","4","top","HEAR",5.79,93.4529362459833,0,"1","half",0.143119266055046,30,2019,43
"31","4","top","RHOV",2.17,6.69284113522606,0,"1","half",0.143119266055046,30,2019,43
"32","4","middle","HEAR",6.4,85.3256564714988,1,"1","half",0.143119266055046,30,2019,43
"33","4","middle","SAAP",6.24,68.3369538432756,0,"1","half",0.143119266055046,30,2019,43
"34","4","bottom","RHOV",1.95,1.80720117397753,0,"1","half",0.143119266055046,30,2019,43
"35","4","bottom","SAAP",5.79,53.2913262712976,1,"1","half",0.143119266055046,30,2019,43
"36","5","top","CEOL",1.13,0.0937199920418907,0,"1","half",0.123429416112343,57,2019,35
"37","5","top","HEAR",10.22,298.401567537731,1,"1","half",0.123429416112343,57,2019,35
"38","5","top","RHOV",4.24,40.0223321767778,0,"1","half",0.123429416112343,57,2019,35
"39","5","top","SAAP",10.09,555.031030038415,1,"1","half",0.123429416112343,57,2019,35
"40","5","middle","HEAR",6.81,267.219837309381,1,"1","half",0.123429416112343,57,2019,35
"41","5","middle","RHOV",3.9,16.7028271215245,0,"1","half",0.123429416112343,57,2019,35
"42","5","middle","SAAP",5.92,121.615366074372,1,"1","half",0.123429416112343,57,2019,35
"43","5","bottom","CEOL",4.61,30.2399655738062,0,"1","half",0.123429416112343,57,2019,35
"44","5","bottom","HEAR",9.5,298.908927420903,1,"1","half",0.123429416112343,57,2019,35
"45","5","bottom","RHOV",1.13,3.22813305922068,0,"1","half",0.123429416112343,57,2019,35
"46","5","bottom","SAAP",5.89,116.522033851998,1,"1","half",0.123429416112343,57,2019,35
"47","6","top","CEOL",2.7,9.65031289737059,0,"1","none",0.3918426802622,40,2019,73
"48","6","top","HEAR",9.21,381.100258789818,0,"1","none",0.3918426802622,40,2019,73
"49","6","top","SAAP",8.5,292.898641795565,0,"1","none",0.3918426802622,40,2019,73
"50","6","middle","HEAR",5.9,87.5537996451308,1,"1","none",0.3918426802622,40,2019,73
"51","6","middle","RHOV",1.4,5.0799553208547,0,"1","none",0.3918426802622,40,2019,73
"52","6","middle","SAAP",9.73,232.696589754151,1,"1","none",0.3918426802622,40,2019,73
"53","6","bottom","CEOL",1.82,4.26921497671829,0,"1","none",0.3918426802622,40,2019,73
"54","6","bottom","HEAR",1.68,19.7973115932737,0,"1","none",0.3918426802622,40,2019,73
"55","6","bottom","RHOV",0.87,1.6243777602982,1,"1","none",0.3918426802622,40,2019,73
"56","6","bottom","SAAP",6.95,184.080124044596,1,"1","none",0.3918426802622,40,2019,73
"57","7","top","HEAR",7.89,269.955785948743,1,"1","none",0.22316234796404,35,2019,60
"58","7","top","SAAP",11.99,407.819354559349,1,"1","none",0.22316234796404,35,2019,60
"59","7","middle","HEAR",5.33,86.8078159031653,1,"1","none",0.22316234796404,35,2019,60
"60","7","middle","RHOV",0.73,2.02060537414568,0,"1","none",0.22316234796404,35,2019,60
"61","7","middle","SAAP",3.73,43.7860041580755,0,"1","none",0.22316234796404,35,2019,60
"62","7","bottom","HEAR",5.51,106.176000600724,0,"1","none",0.22316234796404,35,2019,60
"63","7","bottom","RHOV",2.66,12.9541792834938,0,"1","none",0.22316234796404,35,2019,60
"64","7","bottom","SAAP",7.53,62.3419531133951,1,"1","none",0.22316234796404,35,2019,60
"65","8","top","CEOL",2.34,10.8195602759616,0,"1","half",0.224788298691301,40,2019,25
"66","8","top","HEAR",9.02,383.968595714398,1,"1","half",0.224788298691301,40,2019,25
"67","8","top","SAAP",12.01,472.601271683847,0,"1","half",0.224788298691301,40,2019,25
"68","8","middle","HEAR",5.87,106.68696389067,1,"1","half",0.224788298691301,40,2019,25
"69","8","middle","RHOV",2.12,5.25265914099804,1,"1","half",0.224788298691301,40,2019,25
"70","8","middle","SAAP",4.33,76.8280200986691,0,"1","half",0.224788298691301,40,2019,25
"71","8","bottom","CEOL",2.33,3.71339079087702,0,"1","half",0.224788298691301,40,2019,25
"72","8","bottom","HEAR",4.62,77.823464099688,0,"1","half",0.224788298691301,40,2019,25
"73","8","bottom","RHOV",2.17,7.01904683761523,0,"1","half",0.224788298691301,40,2019,25
"74","8","bottom","SAAP",3.16,16.2804933963245,1,"1","half",0.224788298691301,40,2019,25
"75","9","top","CEOL",1.75,0.921978904012265,0,"1","full",0.258478460128323,44,2019,38
"76","9","top","HEAR",5.6,134.38175142101,1,"1","full",0.258478460128323,44,2019,38
"77","9","top","RHOV",0.95,0.99518586682254,0,"1","full",0.258478460128323,44,2019,38
"78","9","top","SAAP",3.19,15.1853514760427,0,"1","full",0.258478460128323,44,2019,38
"79","9","middle","HEAR",7.6,154.317230259188,1,"1","full",0.258478460128323,44,2019,38
"80","9","middle","RHOV",0.7,0.290649680334616,0,"1","full",0.258478460128323,44,2019,38
"81","9","middle","SAAP",4.35,24.4929873007413,1,"1","full",0.258478460128323,44,2019,38
"82","9","bottom","CEOL",8.13,83.928213227329,1,"1","full",0.258478460128323,44,2019,38
"83","9","bottom","HEAR",8.84,169.590072472639,1,"1","full",0.258478460128323,44,2019,38
"84","9","bottom","RHOV",1.36,3.69890281275621,0,"1","full",0.258478460128323,44,2019,38
"85","9","bottom","SAAP",6.99,27.7571020678211,0,"1","full",0.258478460128323,44,2019,38
"86","10","top","CEOL",1.39,0.748908564726003,0,"1","half",0.140438871473354,32,2019,40
"87","10","top","HEAR",5.68,109.361437321388,1,"1","half",0.140438871473354,32,2019,40
"88","10","top","RHOV",1.15,3.83520133363098,0,"1","half",0.140438871473354,32,2019,40
"89","10","top","SAAP",2.01,18.1088029313415,1,"1","half",0.140438871473354,32,2019,40
"90","10","middle","HEAR",3.72,26.6628727802052,0,"1","half",0.140438871473354,32,2019,40
"91","10","middle","RHOV",1.94,2.24264267092589,1,"1","half",0.140438871473354,32,2019,40
"92","10","middle","SAAP",7.35,118.93329941421,1,"1","half",0.140438871473354,32,2019,40
"93","10","bottom","CEOL",3.55,11.2652957248382,1,"1","half",0.140438871473354,32,2019,40
"94","10","bottom","HEAR",8.82,173.608858532569,1,"1","half",0.140438871473354,32,2019,40
"95","11","top","CEOL",2.12,6.0738588942758,0,"1","none",0.269461077844311,8,2019,40
"96","11","top","HEAR",8.98,215.601702341434,0,"1","none",0.269461077844311,8,2019,40
"97","11","top","RHOV",1.1,2.02679850046345,0,"1","none",0.269461077844311,8,2019,40
"98","11","middle","HEAR",3.81,50.8245555736805,0,"1","none",0.269461077844311,8,2019,40
"99","11","middle","RHOV",2.1,19.1614375322239,1,"1","none",0.269461077844311,8,2019,40
"100","11","middle","SAAP",10.26,110.665742815354,1,"1","none",0.269461077844311,8,2019,40
"101","11","bottom","CEOL",3.63,6.38622954621733,0,"1","none",0.269461077844311,8,2019,40
"102","11","bottom","HEAR",4,33.3385812398949,0,"1","none",0.269461077844311,8,2019,40
"103","11","bottom","SAAP",8.78,114.021525067275,1,"1","none",0.269461077844311,8,2019,40
"104","12","top","CEOL",2.19,0.770569846072504,1,"1","full",0.226640159045726,21,2019,40
"105","12","top","HEAR",6.74,174.564742551697,1,"1","full",0.226640159045726,21,2019,40
"106","12","top","SAAP",2.45,35.2110175853242,0,"1","full",0.226640159045726,21,2019,40
"107","12","middle","HEAR",3.86,39.1364114260459,1,"1","full",0.226640159045726,21,2019,40
"108","12","middle","SAAP",12.18,620.559952969688,1,"1","full",0.226640159045726,21,2019,40
"109","12","bottom","CEOL",1.11,1.42392687023957,0,"1","full",0.226640159045726,21,2019,40
"110","12","bottom","HEAR",5.15,140.016433464672,1,"1","full",0.226640159045726,21,2019,40
"111","12","bottom","RHOV",2.04,7.85660800543288,0,"1","full",0.226640159045726,21,2019,40
"112","13","top","HEAR",5.32,28.7150741988656,0,"1","full",0.093006993006993,46,2019,1
"113","13","top","RHOV",0.47,0.684331033336362,0,"1","full",0.093006993006993,46,2019,1
"114","13","top","SAAP",5.37,29.9966115236738,0,"1","full",0.093006993006993,46,2019,1
"115","13","middle","HEAR",4.93,38.1078351417046,0,"1","full",0.093006993006993,46,2019,1
"116","13","middle","RHOV",1.49,2.8657697197838,0,"1","full",0.093006993006993,46,2019,1
"117","13","middle","SAAP",9.77,105.872142094078,0,"1","full",0.093006993006993,46,2019,1
"118","13","bottom","CEOL",7.31,83.5020420467026,0,"1","full",0.093006993006993,46,2019,1
"119","13","bottom","HEAR",8.17,119.586810376417,0,"1","full",0.093006993006993,46,2019,1
"120","13","bottom","RHOV",1.39,5.46397575284788,0,"1","full",0.093006993006993,46,2019,1
"121","13","bottom","SAAP",7.85,85.0197072349412,0,"1","full",0.093006993006993,46,2019,1
"122","14","top","CEOL",2.719,13.6379995462246,0,"1","none",0.244044160371877,23,2019,40
"123","14","top","HEAR",2.27,0.390563845891834,0,"1","none",0.244044160371877,23,2019,40
"124","14","middle","HEAR",6.33,96.0679744088866,0,"1","none",0.244044160371877,23,2019,40
"125","14","bottom","CEOL",4.91,10.5199999916639,0,"1","none",0.244044160371877,23,2019,40
"126","14","bottom","HEAR",4.62,55.773071370298,0,"1","none",0.244044160371877,23,2019,40
"127","14","bottom","RHOV",0.66,0.57476065915956,0,"1","none",0.244044160371877,23,2019,40
"128","15","top","HEAR",4.55,38.6309160781139,1,"1","half",0.112452830188679,20,2019,45
"129","15","middle","HEAR",0.95,1.51971403024753,1,"1","half",0.112452830188679,20,2019,45
"130","15","bottom","HEAR",3.152,39.3873886554719,1,"1","half",0.112452830188679,20,2019,45
"131","16","top","CEOL",8.96,135.8342228021,0,"1","full",0.0915492957746479,43,2019,35
"132","16","top","HEAR",5.19,92.3651629312705,1,"1","full",0.0915492957746479,43,2019,35
"133","16","top","SAAP",7.69,90.0118393331648,1,"1","full",0.0915492957746479,43,2019,35
"134","16","middle","HEAR",7.59,148.875105854042,0,"1","full",0.0915492957746479,43,2019,35
"135","16","middle","RHOV",2.2,2.33528195509495,0,"1","full",0.0915492957746479,43,2019,35
"136","16","bottom","CEOL",1.27,1.86145176671604,0,"1","full",0.0915492957746479,43,2019,35
"137","16","bottom","SAAP",7.42,88.6246366338481,1,"1","full",0.0915492957746479,43,2019,35
"138","17","top","CEOL",6.64,117.47616276803,1,"1","half",0.0847457627118644,41,2019,60
"139","17","top","HEAR",10.36,234.763501156813,1,"1","half",0.0847457627118644,41,2019,60
"140","17","top","RHOV",1.04,4.41994440344732,1,"1","half",0.0847457627118644,41,2019,60
"141","17","middle","HEAR",5.92,126.96824620981,1,"1","half",0.0847457627118644,41,2019,60
"142","17","middle","RHOV",2.38,7.9851766375835,0,"1","half",0.0847457627118644,41,2019,60
"143","17","middle","SAAP",7.52,217.439689029021,0,"1","half",0.0847457627118644,41,2019,60
"144","17","bottom","CEOL",1.42,1.44240990701819,1,"1","half",0.0847457627118644,41,2019,60
"145","17","bottom","HEAR",8.17,166.190040888192,1,"1","half",0.0847457627118644,41,2019,60
"146","18","top","RHOV",1.4,1.46886211716142,0,"1","none",0.093622001170275,55,2019,45
"147","18","middle","RHOV",1.34,2.06276973634706,0,"1","none",0.093622001170275,55,2019,45
"148","18","middle","SAAP",3.52,6.19823664182652,0,"1","none",0.093622001170275,55,2019,45
"149","19","top","CEOL",9.77,47.5460612134265,0,"2","full",0.513483146067416,91,2019,0
"150","19","top","HEAR",5.83,90.8142806367079,0,"2","full",0.513483146067416,91,2019,0
"151","19","top","RHOV",1.86,5.43870949393138,0,"2","full",0.513483146067416,91,2019,0
"152","19","top","SAAP",7.74,23.055146316639,0,"2","full",0.513483146067416,91,2019,0
"153","19","middle","HEAR",8.99,293.545592065114,0,"2","full",0.513483146067416,91,2019,0
"154","19","bottom","HEAR",2.51,8.32461420463081,0,"2","full",0.513483146067416,91,2019,0
"155","20","top","CEOL",2.23,0.0130774030193431,0,"2","none",0.474566128067026,42,2019,42
"156","20","top","HEAR",9.58,135.04079891667,0,"2","none",0.474566128067026,42,2019,42
"157","20","top","SAAP",7.06,120.749679274724,0,"2","none",0.474566128067026,42,2019,42
"158","20","middle","HEAR",6.21,72.1323496271892,1,"2","none",0.474566128067026,42,2019,42
"159","20","middle","SAAP",2.61,4.83664525301947,0,"2","none",0.474566128067026,42,2019,42
"160","20","bottom","CEOL",0.37,0.111628117364904,0,"2","none",0.474566128067026,42,2019,42
"161","20","bottom","HEAR",8.26,293.450546320973,1,"2","none",0.474566128067026,42,2019,42
"162","21","top","HEAR",4.77,62.3497411215833,0,"2","half",0.403834979662987,17,2019,65
"163","21","top","SAAP",7.12,36.0570683836894,0,"2","half",0.403834979662987,17,2019,65
"164","21","middle","RHOV",1.98,6.35564614173463,0,"2","half",0.403834979662987,17,2019,65
"165","21","bottom","CEOL",3.36,16.3061727746749,0,"2","half",0.403834979662987,17,2019,65
"166","21","bottom","SAAP",7.45,133.49550027945,1,"2","half",0.403834979662987,17,2019,65
"167","22","top","HEAR",6.22,191.522370639786,0,"2","full",0.509528585757272,41,2019,5
"168","22","top","SAAP",5.16,24.7022802033235,1,"2","full",0.509528585757272,41,2019,5
"169","22","middle","HEAR",4.93,44.0828673850801,0,"2","full",0.509528585757272,41,2019,5
"170","22","middle","RHOV",1.98,6.57429156564652,0,"2","full",0.509528585757272,41,2019,5
"171","22","middle","SAAP",3.87,40.9581529380218,0,"2","full",0.509528585757272,41,2019,5
"172","22","bottom","RHOV",1.07,1.33922324911349,0,"2","full",0.509528585757272,41,2019,5
"173","23","top","HEAR",1.54,7.49801405358153,1,"2","half",0.233076923076923,23,2019,35
"174","23","top","SAAP",5.71,64.4655660746642,1,"2","half",0.233076923076923,23,2019,35
"175","23","middle","HEAR",6.98,115.40361430095,0,"2","half",0.233076923076923,23,2019,35
"176","23","middle","SAAP",2.57,3.90843709437392,0,"2","half",0.233076923076923,23,2019,35
"177","23","bottom","CEOL",3.11,6.22860013482346,0,"2","half",0.233076923076923,23,2019,35
"178","23","bottom","HEAR",11.56,186.164210534295,1,"2","half",0.233076923076923,23,2019,35
"179","23","bottom","RHOV",2.82,1.44583633740571,0,"2","half",0.233076923076923,23,2019,35
"180","23","bottom","SAAP",5.32,67.6152169134104,0,"2","half",0.233076923076923,23,2019,35
"181","24","top","CEOL",1.67,1.69285767336237,0,"2","none",0.120363361090083,41,2019,55
"182","24","top","HEAR",5.39,142.868663443717,0,"2","none",0.120363361090083,41,2019,55
"183","24","top","SAAP",4.78,56.3355735349233,0,"2","none",0.120363361090083,41,2019,55
"184","24","middle","HEAR",6.22,115.165432359523,1,"2","none",0.120363361090083,41,2019,55
"185","24","middle","RHOV",3.11,9.50362251159652,0,"2","none",0.120363361090083,41,2019,55
"186","24","middle","SAAP",1.95,3.2241694164894,1,"2","none",0.120363361090083,41,2019,55
"187","24","bottom","HEAR",3.47,24.0163490521289,0,"2","none",0.120363361090083,41,2019,55
"188","24","bottom","SAAP",16.68,554.620285648514,0,"2","none",0.120363361090083,41,2019,55
"189","25","top","SAAP",6.62,41.1024829405154,0,"2","none",0.490948985189249,38,2019,10
"190","25","middle","SAAP",3.43,11.2013014824846,0,"2","none",0.490948985189249,38,2019,10
"191","25","bottom","SAAP",11.03,203.291521277592,1,"2","none",0.490948985189249,38,2019,10
"192","26","bottom","HEAR",5.02,71.4459074435896,0,"2","half",0.296125461254613,42,2019,16
"193","27","top","CEOL",2.48,5.01827957387942,0,"2","full",0.16448326055313,60,2019,3
"194","27","top","RHOV",2.89,6.32094096769043,0,"2","full",0.16448326055313,60,2019,3
"195","27","middle","HEAR",7.33,165.03501707034,0,"2","full",0.16448326055313,60,2019,3
"196","28","top","HEAR",5.09,81.6458828164103,0,"2","half",0.258333333333333,16,2019,0
"197","28","top","SAAP",4.98,2.26332901135223,0,"2","half",0.258333333333333,16,2019,0
"198","28","middle","SAAP",7.69,39.090223207254,0,"2","half",0.258333333333333,16,2019,0
"199","29","top","CEOL",5.92,52.6999403038153,0,"2","none",0.325959661678595,46,2019,15
"200","29","top","HEAR",6.26,70.3400500743652,0,"2","none",0.325959661678595,46,2019,15
"201","29","top","SAAP",6.66,43.7988281392875,1,"2","none",0.325959661678595,46,2019,15
"202","29","middle","SAAP",3.75,18.4293679041211,0,"2","none",0.325959661678595,46,2019,15
"203","30","top","HEAR",2.35,27.7689563441007,0,"2","full",0.692676249144422,22,2019,3
"204","30","middle","SAAP",5.19,20.0631374556572,1,"2","full",0.692676249144422,22,2019,3
"205","30","bottom","HEAR",3.29,34.0669280807031,0,"2","full",0.692676249144422,22,2019,3
"206","30","bottom","SAAP",2.89,0.703335574495478,0,"2","full",0.692676249144422,22,2019,3
"207","31","top","CEOL",2.89,10.0134527337917,0,"2","none",0.419852941176471,55,2019,30
"208","31","top","HEAR",6.52,122.929146611781,0,"2","none",0.419852941176471,55,2019,30
"209","31","middle","HEAR",6.18,47.3189889908201,1,"2","none",0.419852941176471,55,2019,30
"210","31","middle","RHOV",1.96,5.44386484747592,0,"2","none",0.419852941176471,55,2019,30
"211","31","middle","SAAP",7.45,135.281681580581,1,"2","none",0.419852941176471,55,2019,30
"212","31","bottom","HEAR",4.05,40.9101336943116,0,"2","none",0.419852941176471,55,2019,30
"213","31","bottom","SAAP",0.79,0.751878940579972,0,"2","none",0.419852941176471,55,2019,30
"214","32","top","SAAP",3.46,4.12386290941465,0,"2","half",0.685505319148936,35,2019,20
"215","32","bottom","CEOL",1.47,5.34418996655915,0,"2","half",0.685505319148936,35,2019,20
"216","32","bottom","HEAR",6.15,280.379832275988,0,"2","half",0.685505319148936,35,2019,20
"217","33","middle","HEAR",5.46,12.1786980809062,0,"2","full",0.342817487855656,72,2019,0
"218","33","middle","SAAP",10.58,52.0408153155362,0,"2","full",0.342817487855656,72,2019,0
"219","33","bottom","CEOL",2.92,10.7145902406272,0,"2","full",0.342817487855656,72,2019,0
"220","33","bottom","HEAR",3.76,12.9522838559261,0,"2","full",0.342817487855656,72,2019,0
"221","33","bottom","SAAP",6.94,21.3284453128171,1,"2","full",0.342817487855656,72,2019,0
"222","34","middle","HEAR",7.52,137.61274961273,1,"2","half",0.547271329746349,33,2019,15
"223","34","middle","RHOV",1.36,0.679907670880108,0,"2","half",0.547271329746349,33,2019,15
"224","34","bottom","CEOL",1.65,0.456159253301238,0,"2","half",0.547271329746349,33,2019,15
"225","34","bottom","HEAR",4.84,77.9776367119653,0,"2","half",0.547271329746349,33,2019,15
"226","34","bottom","SAAP",8.95,78.3346703394654,1,"2","half",0.547271329746349,33,2019,15
"227","35","top","SAAP",6.66,8.57006369706313,1,"2","full",0.284513805522209,32,2019,15
"228","35","bottom","HEAR",6.73,65.399275685645,0,"2","full",0.284513805522209,32,2019,15
"229","35","bottom","SAAP",6.13,18.9575387442279,0,"2","full",0.284513805522209,32,2019,15
"230","36","top","CEOL",5.16,14.329375862886,0,"2","none",0.53646477132262,61,2019,0
"231","36","top","HEAR",4.14,38.3422586911204,0,"2","none",0.53646477132262,61,2019,0
"232","36","top","SAAP",5.78,6.55881608023494,0,"2","none",0.53646477132262,61,2019,0
"233","36","middle","RHOV",2.78,0.981805300112126,0,"2","none",0.53646477132262,61,2019,0
"234","36","middle","SAAP",6.7,72.1569482976668,0,"2","none",0.53646477132262,61,2019,0
"235","36","bottom","HEAR",7.96,121.634425069804,0,"2","none",0.53646477132262,61,2019,0
"236","36","bottom","SAAP",4.51,51.9632776672529,0,"2","none",0.53646477132262,61,2019,0
